Player,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,TeamID,TB,Runs
"Hoskins, Rhys",2024,517,449,96,14,0,26,53,149,0.214,0.303,0.419,0.313,0.393,2243,306,39,12.7,42.2,88.7,20.8,0.202,0.387,0.301,0.372,,158,188,56.0
"Hicklen, Brewer",2024,5,5,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,29,1,0,0.0,0.0,82.5,3.1,0.055,0.066,0.053,0.266,,158,0,0.0
"Capra, Vinny",2024,9,9,1,1,0,0,0,3,0.111,0.111,0.222,0.139,0.209,32,6,0,0.0,0.0,77.6,16.2,0.053,0.074,0.057,0.086,,158,2,0.0
"Haase, Eric",2024,69,66,18,1,0,5,3,28,0.273,0.304,0.515,0.35,0.581,270,38,5,13.2,39.5,90.0,11.5,0.226,0.465,0.308,0.505,,158,34,10.0
"Chourio, Jackson",2024,573,528,145,29,4,21,39,121,0.275,0.327,0.464,0.339,0.406,2103,410,32,7.8,44.9,89.7,7.6,0.274,0.43,0.328,0.391,,158,245,80.0
"Turang, Brice",2024,619,559,142,24,4,7,50,105,0.254,0.316,0.349,0.294,0.318,2470,462,11,2.4,29.7,87.0,6.1,0.261,0.34,0.297,0.322,,158,195,61.0
"Collins, Isaac",2024,19,17,2,0,0,0,2,10,0.118,0.211,0.118,0.165,0.252,87,7,0,0.0,28.6,87.2,23.5,0.098,0.124,0.161,0.241,,158,2,0.0
"Yelich, Christian",2024,315,270,85,12,3,11,40,58,0.315,0.406,0.504,0.391,0.443,1268,214,17,7.9,46.7,91.1,5.2,0.294,0.471,0.373,0.416,,158,136,55.0
"Ortiz, Joey",2024,511,440,105,25,6,11,56,103,0.239,0.329,0.398,0.319,0.347,2124,346,16,4.6,38.4,87.8,9.9,0.234,0.343,0.305,0.327,,158,175,57.0
"Bauers, Jake",2024,346,302,60,9,2,12,39,118,0.199,0.301,0.361,0.294,0.39,1512,184,19,10.3,42.9,89.4,22.6,0.201,0.379,0.302,0.404,,158,109,32.0
"Adames, Willy",2024,688,610,153,33,0,32,74,173,0.251,0.331,0.462,0.342,0.419,2733,440,53,12.0,40.7,88.6,20.6,0.243,0.461,0.339,0.415,,158,282,94.0
"Mitchell, Garrett",2024,224,196,50,12,3,8,25,71,0.255,0.342,0.469,0.351,0.48,891,127,11,8.7,37.0,88.8,2.8,0.232,0.374,0.312,0.411,,158,92,31.0
"Perkins, Blake",2024,434,383,92,13,2,6,42,108,0.24,0.316,0.332,0.288,0.336,1734,281,11,3.9,37.7,88.8,12.0,0.218,0.311,0.275,0.316,,158,127,40.0
"Monasterio, Andruw",2024,142,125,26,5,0,1,16,40,0.208,0.303,0.272,0.266,0.305,647,85,8,9.4,41.2,88.1,14.9,0.211,0.342,0.291,0.349,,158,34,10.0
"Sánchez, Gary",2024,280,245,54,7,1,11,27,76,0.22,0.307,0.392,0.307,0.371,1158,172,18,10.5,44.2,90.0,16.2,0.219,0.399,0.309,0.374,,158,96,29.0
"Frelick, Sal",2024,524,475,123,22,4,2,39,78,0.259,0.32,0.335,0.292,0.306,2046,400,3,0.8,19.5,83.4,9.7,0.246,0.304,0.278,0.288,,158,159,50.0
"Dunn, Oliver",2024,104,95,21,2,2,1,6,40,0.221,0.282,0.316,0.266,0.397,418,56,3,5.4,46.4,89.1,6.6,0.207,0.318,0.263,0.391,,158,30,8.0
"Black, Tyler",2024,57,49,10,2,0,0,7,17,0.204,0.316,0.245,0.265,0.299,239,32,0,0.0,15.6,83.0,16.4,0.191,0.231,0.256,0.283,,158,12,4.0
"Contreras, William",2024,679,595,167,37,2,23,78,139,0.281,0.365,0.466,0.359,0.412,2677,459,46,10.0,49.5,92.8,6.1,0.269,0.471,0.358,0.411,,158,277,101.0
Brewers,2024,6170,5472,1359,249,33,177,597,1459,0.248,0.326,0.403,0.319,0.376,24893,4062,293,7.2,38.6,88.6,11.5,0.24,0.386,0.312,0.365,,158,2205,711.0
MLB,2024,182448,163686,39823,7771,697,5453,14929,41197,0.243,0.312,0.399,0.31,0.363,709510,124202,9716,7.8,38.9,88.8,13.3,0.243,0.397,0.312,0.366,,158,65347,20031.0
