Player,AB,H,2B,3B,HR,BB,,TB,Runs
"White, Eli",39,11,1,1,1,1,,17,5.0
"Urshela, Gio",432,108,19,1,9,23,,156,45.0
"Williams, Luke",46,9,3,0,0,4,,12,3.0
"Merrifield, Whit",293,65,9,3,4,35,,92,28.0
"Acuña Jr., Ronald",192,48,8,1,4,27,,70,24.0
"Ozuna, Marcell",606,183,31,0,39,74,,331,125.0
"Albies, Ozzie",399,100,29,1,10,27,,161,48.0
"Tromp, Chadwick",52,13,6,0,0,1,,19,5.0
"Arcia, Orlando",551,120,24,0,17,41,,195,53.0
"Olson, Matt",600,148,37,1,29,71,,274,89.0
"Biggio, Cavan",188,37,5,0,5,24,,57,16.0
"Riley, Austin",425,109,26,2,19,37,,196,62.0
"Harris II, Michael",440,116,14,3,16,23,,184,55.0
"Duvall, Adam",303,55,10,0,11,21,,98,23.0
"Soler, Jorge",493,119,34,1,21,68,,218,73.0
"Murphy, Sean",233,45,5,1,10,27,,82,23.0
"Kelenic, Jarred",412,95,18,2,15,32,,162,46.0
"Alvarez Jr., Nacho",30,3,0,0,0,0,,3,0.0
"d'Arnaud, Travis",307,73,16,0,15,24,,134,39.0
"Laureano, Ramón",286,74,16,1,11,15,,125,37.0
Braves,5481,1333,273,15,213,485,,2275,693.0
MLB,163687,39823,7771,697,5453,14929,,65347,20031.0
