Player,AB,H,2B,3B,HR,BB,SB,CS,1B,Total Bases,Runs
Carter Jensen,60,18,6,0,3,9,0,0,9,33,13
Bobby Witt Jr.,623,184,47,6,23,49,38,9,108,312,111
Maikel Garcia,595,170,39,5,16,62,23,9,110,267,95
Adam Frazier,184,52,10,0,4,9,1,1,38,74,23
Tyler Tolbert,50,14,2,0,1,1,21,2,11,19,8
Vinnie Pasquantino,621,164,33,1,32,49,1,0,98,295,94
Kyle Isbel,368,94,16,4,4,23,4,5,70,130,38
Freddy Fermin,192,49,7,0,3,13,1,2,39,65,19
Michael Massey,262,64,9,0,3,9,2,1,52,82,22
Luke Maile,45,11,2,0,1,7,1,0,8,16,6
Drew Waters,206,50,6,3,1,11,5,3,40,65,18
Mike Yastrzemski,156,37,14,0,9,25,1,0,14,78,27
Salvador Perez,597,141,35,0,30,28,0,0,76,266,72
Jonathan India,497,116,29,0,9,54,0,4,78,172,51
Mark Canha,113,24,3,0,1,7,0,1,20,30,7
Nick Loftin,168,35,9,2,4,14,1,1,20,60,16
Randal Grichuk,97,20,3,0,2,7,0,0,15,29,8
John Rave,153,30,5,0,4,18,7,2,21,47,14
Hunter Renfroe,99,18,6,0,0,8,0,0,12,24,6
Cavan Biggio,69,12,2,0,1,11,1,0,9,17,5
Dairon Blanco,6,1,1,0,0,0,3,2,0,2,-1
Jac Caglianone,210,33,6,1,7,18,1,0,19,62,14
MJ Melendez,60,5,2,0,1,3,0,0,2,10,1
