Player,AB,H,2B,3B,HR,BB,SB,CS,Total Bases,Projected Runs
Ronald Acuña Jr.,143,48,5,0,11,31,4,0,86,40
Drake Baldwin,180,50,5,0,11,19,0,0,88,31
Austin Riley,372,102,18,1,14,25,2,1,164,52
Matt Olson,341,92,23,0,17,54,0,0,166,61
Eli White,178,43,7,3,4,9,5,1,68,19
Nick Allen,238,57,8,0,0,23,6,5,65,20
Marcell Ozuna,310,74,11,0,12,63,0,0,121,44
Alex Verdugo,197,47,10,0,0,14,1,0,57,17
Sean Murphy,182,41,7,0,13,18,0,0,87,26
Jurickson Profar,45,10,1,0,2,1,0,0,17,4
Ozzie Albies,349,77,12,1,6,32,7,1,109,32
Stuart Fairchild,51,11,4,1,0,4,2,1,17,5
Michael Harris II,332,69,11,3,6,10,12,3,104,25
Orlando Arcia,31,6,1,0,0,1,0,0,7,2
Bryan De La Cruz,47,9,1,0,0,3,1,0,10,3
Jarred Kelenic,60,10,2,0,2,5,0,1,18,4
Luke Williams,15,2,1,0,0,0,3,0,3,1
José Azócar,1,0,0,0,0,0,0,0,0,0
Chadwick Tromp,5,0,0,0,0,1,0,0,0,0
Eddie Rosario,4,0,0,0,0,0,0,0,0,0
