Player,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Age,Sprint_Speed_(ft/s),Lg_Rank,Pos_Rank,Age_Rank,%_Rank,MB_Value
Vidal Bruján,23,41,8,11,2,0,0,5,5,9,0,0,0.268,0.362,0.317,0.679,27,27.0,387,42,50,37,4.522
Sean Murphy,94,291,34,58,13,0,16,45,35,105,0,0,0.199,0.3,0.409,0.709,30,24.8,593,73,57,4,33.948
Ronald Acuña,95,338,74,98,12,1,21,42,71,102,9,1,0.29,0.417,0.518,0.935,27,27.9,223,33,27,64,74.289
Ozzie Albies,157,603,74,145,23,2,16,74,55,94,14,3,0.24,0.306,0.365,0.671,28,27.2,346,51,29,44,68.488
Nick Allen,135,371,32,82,11,0,0,22,31,99,8,7,0.221,0.284,0.251,0.535,26,27.4,318,35,46,49,25.554
Nacho Alvarez,58,188,18,44,12,0,2,15,12,49,0,0,0.234,0.296,0.33,0.626,22,26.8,417,49,21,33,17.36
Michael Harris II,160,611,55,152,26,6,20,86,16,128,20,6,0.249,0.268,0.409,0.678,24,28.5,129,39,20,79,67.564
Matt Olson,162,624,98,170,41,2,29,95,91,176,1,0,0.272,0.366,0.484,0.85,31,25.2,571,53,29,8,110.496
Marcell Ozuna,145,487,61,113,19,0,21,68,94,144,0,0,0.232,0.355,0.4,0.756,34,25.3,564,41,14,9,69.475
Jurickson Profar,80,318,56,78,16,1,14,43,48,59,9,2,0.245,0.353,0.434,0.787,32,26.3,470,65,21,24,48.623
Jake Fraley,9,23,2,7,1,0,0,0,1,8,0,1,0.304,0.333,0.348,0.681,30,28.4,141,22,7,77,2.24
Ha-Seong Kim,24,87,14,22,1,0,3,12,8,16,0,1,0.253,0.316,0.368,0.684,29,27.6,290,32,25,53,9.667
Eli White,105,256,43,60,8,3,10,35,11,70,10,1,0.234,0.27,0.406,0.677,31,29.9,8,1,2,99,28.993
Drake Baldwin,124,405,56,111,18,2,19,80,38,68,0,0,0.274,0.341,0.469,0.81,24,26.1,498,45,41,19,63.905
Brett Wisely,4,6,0,0,0,0,0,0,3,4,0,0,0.0,0.333,0.0,0.333,26,27.5,303,47,44,51,0.0
Austin Riley,102,416,54,108,20,1,16,54,27,128,2,1,0.26,0.309,0.428,0.737,28,28.2,170,16,15,73,54.143
